"Source:","/home/wolfwood/repos/hardwire-helper/helper/helper.kicad_sch"
"Date:","Mon 05 Dec 2022 12:00:55 AM CST"
"Tool:","Eeschema 6.0.7"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D2","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D3","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D4","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D5","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D6","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D7","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D8","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D9","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D10","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D11","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D12","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D13","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D14","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D15","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D16","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D17","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D18","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D19","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D20","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D21","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D22","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D23","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D24","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D25","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D26","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D27","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D28","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D29","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D30","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D31","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D32","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D33","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D34","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D35","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D36","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D37","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D38","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","D39","1N4148WS","Diode:1N4148WS","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf"
"","","J1","columns","Connector_Generic:Conn_02x34_Row_Letter_Last","Connector_PinSocket_2.54mm:PinSocket_2x34_P2.54mm_Horizontal","~"
"","","J2","Conn_01x08_Male","Connector:Conn_01x08_Male","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Horizontal","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
